date,prediction,articles_per_day
2022-03-25,-0.14366998577524892,119.0
2022-03-26,-0.08403361344537816,81.0
2022-03-27,-0.19652173913043477,98.0
2022-03-28,-0.2302839116719243,108.0
2022-03-29,-0.1643192488262911,147.0
2022-03-30,-0.027921406411582212,166.0
2022-03-31,-0.0625,156.0
2022-04-01,-0.09562841530054644,126.0
2022-04-02,-0.1346153846153846,88.0
2022-04-03,-0.12310286677908938,100.0
2022-04-04,-0.1771117166212534,125.0
2022-04-05,-0.08437067773167359,125.0
2022-04-06,-0.1452581032412965,143.0
2022-04-07,-0.17583892617449665,127.0
2022-04-08,-0.25475285171102663,135.0
2022-04-09,-0.14906832298136646,55.0
2022-04-10,-0.0898021308980213,112.0
2022-04-11,-0.12597200622083982,112.0
2022-04-12,-0.32860520094562645,146.0
2022-04-13,-0.25813953488372093,146.0
2022-04-14,-0.061968408262454436,144.0
2022-04-15,-0.23747980613893377,104.0
2022-04-16,-0.13647642679900746,69.0
2022-04-17,-0.11217948717948718,106.0
2022-04-18,-0.2704,106.0
2022-04-19,-0.19763513513513514,200.0
2022-04-20,-0.16588566073102157,183.0
2022-04-21,-0.2240566037735849,147.0
2022-04-22,-0.18208955223880596,116.0
2022-04-23,-0.27320954907161804,64.0
2022-04-24,-0.3910891089108911,70.0
2022-04-25,-0.18664047151277013,89.0
2022-04-26,-0.35135135135135137,153.0
2022-04-27,-0.21645021645021645,158.0
2022-04-28,-0.1111111111111111,100.0
2022-04-29,-0.10285714285714286,118.0
2022-04-30,-0.11498257839721254,49.0
